id,name,address,subnet mask,network,port
2,net2,172.16.2.1,255.255.255.0,172.16.2.0,vlan 2
3,net3,172.16.3.1,255.255.255.0,172.16.3.0,vlan 3
4,net4,172.16.4.1,255.255.255.0,172.16.4.0,vlan 4
5,net5,172.16.5.1,255.255.255.0,172.16.5.0,vlan 5
6,net6,172.16.6.1,255.255.255.0,172.16.6.0,vlan 6
7,net7,172.16.7.1,255.255.255.0,172.16.7.0,vlan 7
8,net8,172.16.8.1,255.255.255.0,172.16.8.0,vlan 8
9,net9,172.16.9.1,255.255.255.0,172.16.9.0,vlan 9
10,net10,172.16.10.1,255.255.255.0,172.16.10.0,vlan 10
11,net11,172.16.11.1,255.255.255.0,172.16.11.0,vlan 11
12,net12,172.16.12.1,255.255.255.0,172.16.12.0,vlan 12
13,net13,172.16.13.1,255.255.255.0,172.16.13.0,vlan 13
14,net14,172.16.14.1,255.255.255.0,172.16.14.0,vlan 14
15,net15,172.16.15.1,255.255.255.0,172.16.15.0,vlan 15
16,net16,172.16.16.1,255.255.255.0,172.16.16.0,vlan 16
17,net17,172.16.17.1,255.255.255.0,172.16.17.0,vlan 17
18,net18,172.16.18.1,255.255.255.0,172.16.18.0,vlan 18
19,net19,172.16.19.1,255.255.255.0,172.16.19.0,vlan 19
20,net20,172.16.20.1,255.255.255.0,172.16.20.0,vlan 20
21,net21,172.16.21.1,255.255.255.0,172.16.21.0,vlan 21
22,net22,172.16.22.1,255.255.255.0,172.16.22.0,vlan 22
23,net23,172.16.23.1,255.255.255.0,172.16.23.0,vlan 23
24,net24,172.16.24.1,255.255.255.0,172.16.24.0,vlan 24
25,net25,172.16.25.1,255.255.255.0,172.16.25.0,vlan 25
26,net26,172.16.26.1,255.255.255.0,172.16.26.0,vlan 26
27,net27,172.16.27.1,255.255.255.0,172.16.27.0,vlan 27
28,net28,172.16.28.1,255.255.255.0,172.16.28.0,vlan 28
29,net29,172.16.29.1,255.255.255.0,172.16.29.0,vlan 29
30,net30,172.16.30.1,255.255.255.0,172.16.30.0,vlan 30
31,net31,172.16.31.1,255.255.255.0,172.16.31.0,vlan 31
32,net32,172.16.32.1,255.255.255.0,172.16.32.0,vlan 32
33,net33,172.16.33.1,255.255.255.0,172.16.33.0,vlan 33
34,net34,172.16.34.1,255.255.255.0,172.16.34.0,vlan 34
35,net35,172.16.35.1,255.255.255.0,172.16.35.0,vlan 35
36,net36,172.16.36.1,255.255.255.0,172.16.36.0,vlan 36
37,net37,172.16.37.1,255.255.255.0,172.16.37.0,vlan 37
38,net38,172.16.38.1,255.255.255.0,172.16.38.0,vlan 38
39,net39,172.16.39.1,255.255.255.0,172.16.39.0,vlan 39
40,net40,172.16.40.1,255.255.255.0,172.16.40.0,vlan 40
41,net41,172.16.41.1,255.255.255.0,172.16.41.0,vlan 41
42,net42,172.16.42.1,255.255.255.0,172.16.42.0,vlan 42
43,net43,172.16.43.1,255.255.255.0,172.16.43.0,vlan 43
44,net44,172.16.44.1,255.255.255.0,172.16.44.0,vlan 44
45,net45,172.16.45.1,255.255.255.0,172.16.45.0,vlan 45
46,net46,172.16.46.1,255.255.255.0,172.16.46.0,vlan 46
47,net47,172.16.47.1,255.255.255.0,172.16.47.0,vlan 47
48,net48,172.16.48.1,255.255.255.0,172.16.48.0,vlan 48
49,net49,172.16.49.1,255.255.255.0,172.16.49.0,vlan 49
50,net50,172.16.50.1,255.255.255.0,172.16.50.0,vlan 50
51,net51,172.16.51.1,255.255.255.0,172.16.51.0,vlan 51
52,net52,172.16.52.1,255.255.255.0,172.16.52.0,vlan 52
53,net53,172.16.53.1,255.255.255.0,172.16.53.0,vlan 53
54,net54,172.16.54.1,255.255.255.0,172.16.54.0,vlan 54
55,net55,172.16.55.1,255.255.255.0,172.16.55.0,vlan 55
56,net56,172.16.56.1,255.255.255.0,172.16.56.0,vlan 56
57,net57,172.16.57.1,255.255.255.0,172.16.57.0,vlan 57
58,net58,172.16.58.1,255.255.255.0,172.16.58.0,vlan 58
59,net59,172.16.59.1,255.255.255.0,172.16.59.0,vlan 59
60,net60,172.16.60.1,255.255.255.0,172.16.60.0,vlan 60
61,net61,172.16.61.1,255.255.255.0,172.16.61.0,vlan 61
62,net62,172.16.62.1,255.255.255.0,172.16.62.0,vlan 62
63,net63,172.16.63.1,255.255.255.0,172.16.63.0,vlan 63
64,net64,172.16.64.1,255.255.255.0,172.16.64.0,vlan 64
65,net65,172.16.65.1,255.255.255.0,172.16.65.0,vlan 65
66,net66,172.16.66.1,255.255.255.0,172.16.66.0,vlan 66
67,net67,172.16.67.1,255.255.255.0,172.16.67.0,vlan 67
68,net68,172.16.68.1,255.255.255.0,172.16.68.0,vlan 68
69,net69,172.16.69.1,255.255.255.0,172.16.69.0,vlan 69
70,net70,172.16.70.1,255.255.255.0,172.16.70.0,vlan 70
71,net71,172.16.71.1,255.255.255.0,172.16.71.0,vlan 71
72,net72,172.16.72.1,255.255.255.0,172.16.72.0,vlan 72
73,net73,172.16.73.1,255.255.255.0,172.16.73.0,vlan 73
74,net74,172.16.74.1,255.255.255.0,172.16.74.0,vlan 74
75,net75,172.16.75.1,255.255.255.0,172.16.75.0,vlan 75
76,net76,172.16.76.1,255.255.255.0,172.16.76.0,vlan 76
77,net77,172.16.77.1,255.255.255.0,172.16.77.0,vlan 77
78,net78,172.16.78.1,255.255.255.0,172.16.78.0,vlan 78
79,net79,172.16.79.1,255.255.255.0,172.16.79.0,vlan 79
80,net80,172.16.80.1,255.255.255.0,172.16.80.0,vlan 80
81,net81,172.16.81.1,255.255.255.0,172.16.81.0,vlan 81
82,net82,172.16.82.1,255.255.255.0,172.16.82.0,vlan 82
83,net83,172.16.83.1,255.255.255.0,172.16.83.0,vlan 83
84,net84,172.16.84.1,255.255.255.0,172.16.84.0,vlan 84
85,net85,172.16.85.1,255.255.255.0,172.16.85.0,vlan 85
86,net86,172.16.86.1,255.255.255.0,172.16.86.0,vlan 86
87,net87,172.16.87.1,255.255.255.0,172.16.87.0,vlan 87
88,net88,172.16.88.1,255.255.255.0,172.16.88.0,vlan 88
89,net89,172.16.89.1,255.255.255.0,172.16.89.0,vlan 89
90,net90,172.16.90.1,255.255.255.0,172.16.90.0,vlan 90
