id,name,address,subnet mask,network,port
2,net2,172.16.2.1,255.255.255.0,172.16.2.0,g1/0
3,net3,172.16.3.1,255.255.255.0,172.16.3.0,g1/1
4,net4,172.16.4.1,255.255.255.0,172.16.4.0,g1/2
5,net5,172.16.5.1,255.255.255.0,172.16.5.0,
6,net6,172.16.6.1,255.255.255.0,172.16.6.0,
7,net7,172.16.7.1,255.255.255.0,172.16.7.0,
8,net8,172.16.8.1,255.255.255.0,172.16.8.0,
9,net9,172.16.9.1,255.255.255.0,172.16.9.0,
10,net10,172.16.10.1,255.255.255.0,172.16.10.0,
11,net11,172.16.11.1,255.255.255.0,172.16.11.0,
12,net12,172.16.12.1,255.255.255.0,172.16.12.0,
13,net13,172.16.13.1,255.255.255.0,172.16.13.0,
14,net14,172.16.14.1,255.255.255.0,172.16.14.0,
15,net15,172.16.15.1,255.255.255.0,172.16.15.0,
16,net16,172.16.16.1,255.255.255.0,172.16.16.0,
17,net17,172.16.17.1,255.255.255.0,172.16.17.0,
18,net18,172.16.18.1,255.255.255.0,172.16.18.0,
19,net19,172.16.19.1,255.255.255.0,172.16.19.0,
20,net20,172.16.20.1,255.255.255.0,172.16.20.0,
21,net21,172.16.21.1,255.255.255.0,172.16.21.0,
22,net22,172.16.22.1,255.255.255.0,172.16.22.0,
23,net23,172.16.23.1,255.255.255.0,172.16.23.0,
24,net24,172.16.24.1,255.255.255.0,172.16.24.0,
25,net25,172.16.25.1,255.255.255.0,172.16.25.0,
26,net26,172.16.26.1,255.255.255.0,172.16.26.0,
27,net27,172.16.27.1,255.255.255.0,172.16.27.0,
28,net28,172.16.28.1,255.255.255.0,172.16.28.0,
29,net29,172.16.29.1,255.255.255.0,172.16.29.0,
30,net30,172.16.30.1,255.255.255.0,172.16.30.0,
31,net31,172.16.31.1,255.255.255.0,172.16.31.0,
32,net32,172.16.32.1,255.255.255.0,172.16.32.0,
33,net33,172.16.33.1,255.255.255.0,172.16.33.0,
34,net34,172.16.34.1,255.255.255.0,172.16.34.0,
35,net35,172.16.35.1,255.255.255.0,172.16.35.0,
36,net36,172.16.36.1,255.255.255.0,172.16.36.0,
37,net37,172.16.37.1,255.255.255.0,172.16.37.0,
38,net38,172.16.38.1,255.255.255.0,172.16.38.0,
39,net39,172.16.39.1,255.255.255.0,172.16.39.0,
40,net40,172.16.40.1,255.255.255.0,172.16.40.0,
41,net41,172.16.41.1,255.255.255.0,172.16.41.0,
42,net42,172.16.42.1,255.255.255.0,172.16.42.0,
43,net43,172.16.43.1,255.255.255.0,172.16.43.0,
44,net44,172.16.44.1,255.255.255.0,172.16.44.0,
45,net45,172.16.45.1,255.255.255.0,172.16.45.0,
46,net46,172.16.46.1,255.255.255.0,172.16.46.0,
47,net47,172.16.47.1,255.255.255.0,172.16.47.0,
48,net48,172.16.48.1,255.255.255.0,172.16.48.0,
49,net49,172.16.49.1,255.255.255.0,172.16.49.0,
50,net50,172.16.50.1,255.255.255.0,172.16.50.0,
51,net51,172.16.51.1,255.255.255.0,172.16.51.0,
52,net52,172.16.52.1,255.255.255.0,172.16.52.0,
53,net53,172.16.53.1,255.255.255.0,172.16.53.0,
54,net54,172.16.54.1,255.255.255.0,172.16.54.0,
55,net55,172.16.55.1,255.255.255.0,172.16.55.0,
56,net56,172.16.56.1,255.255.255.0,172.16.56.0,
57,net57,172.16.57.1,255.255.255.0,172.16.57.0,
58,net58,172.16.58.1,255.255.255.0,172.16.58.0,
59,net59,172.16.59.1,255.255.255.0,172.16.59.0,
60,net60,172.16.60.1,255.255.255.0,172.16.60.0,
61,net61,172.16.61.1,255.255.255.0,172.16.61.0,
62,net62,172.16.62.1,255.255.255.0,172.16.62.0,
63,net63,172.16.63.1,255.255.255.0,172.16.63.0,
64,net64,172.16.64.1,255.255.255.0,172.16.64.0,
65,net65,172.16.65.1,255.255.255.0,172.16.65.0,
66,net66,172.16.66.1,255.255.255.0,172.16.66.0,
67,net67,172.16.67.1,255.255.255.0,172.16.67.0,
68,net68,172.16.68.1,255.255.255.0,172.16.68.0,
69,net69,172.16.69.1,255.255.255.0,172.16.69.0,
70,net70,172.16.70.1,255.255.255.0,172.16.70.0,
71,net71,172.16.71.1,255.255.255.0,172.16.71.0,
72,net72,172.16.72.1,255.255.255.0,172.16.72.0,
73,net73,172.16.73.1,255.255.255.0,172.16.73.0,
74,net74,172.16.74.1,255.255.255.0,172.16.74.0,
75,net75,172.16.75.1,255.255.255.0,172.16.75.0,
76,net76,172.16.76.1,255.255.255.0,172.16.76.0,
77,net77,172.16.77.1,255.255.255.0,172.16.77.0,
